Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2024-04-08,14899709,7969657,6930051,5,"6305.T:130, 6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670"
2024-04-09,14967173,7969657,6997515,5,"6305.T:130, 6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670"
2024-04-10,14916523,7969657,6946866,5,"6305.T:130, 6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670"
2024-04-11,14956066,6378027,8578039,6,"6305.T:130, 6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670, 3436.T:628"
2024-04-12,15038823,5743473,9295350,7,"6305.T:130, 6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670, 3436.T:628, 6920.T:15"
2024-04-15,15033122,6939840,8093281,5,"6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670, 3436.T:628"
2024-04-16,15059483,6939840,8119643,5,"6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670, 3436.T:628"
2024-04-17,14984063,6939840,8044222,5,"6594.T:618, 7259.T:992, 7013.T:2564, 7269.T:670, 3436.T:628"
2024-04-18,14929212,8243466,6685746,4,"7259.T:992, 7269.T:670, 3436.T:628, 6594.T:617"
2024-04-19,14780867,9750666,5030200,3,"7259.T:992, 7269.T:670, 6594.T:617"
2024-04-22,14907616,7803979,7103636,4,"7259.T:992, 7269.T:670, 6594.T:617, 6954.T:455"
2024-04-23,14845604,7803979,7041624,4,"7259.T:992, 7269.T:670, 6594.T:617, 6954.T:455"
2024-04-24,14957172,7825318,7131853,4,"7259.T:992, 7269.T:670, 6954.T:455, 6594.T:583"
2024-04-25,14837641,7825318,7012322,4,"7259.T:992, 7269.T:670, 6954.T:455, 6594.T:583"
2024-04-26,14823858,9610918,5212939,3,"7269.T:670, 6954.T:455, 6594.T:583"
2024-04-30,14958744,9610918,5347825,3,"7269.T:670, 6954.T:455, 6594.T:583"
2024-05-01,14970811,7689992,7280818,4,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479"
2024-05-02,14944492,6152394,8792097,5,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541"
2024-05-07,14920076,4953023,9967053,6,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17"
2024-05-08,14681909,4953023,9728886,6,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17"
2024-05-09,14686095,3962699,10723395,7,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1712"
2024-05-10,14802822,3086139,11716683,8,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 3436.T:350, 7013.T:1700"
2024-05-13,14671985,1875825,12796159,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 3436.T:350, 7013.T:1700, 6315.T:139, 6367.T:25"
2024-05-14,14735065,1992092,12742973,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6367.T:25, 3436.T:269, 6315.T:162"
2024-05-15,14720234,1992092,12728142,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6367.T:25, 3436.T:269, 6315.T:162"
2024-05-16,14821690,1992092,12829598,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6367.T:25, 3436.T:269, 6315.T:162"
2024-05-17,14881016,1992092,12888924,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6367.T:25, 3436.T:269, 6315.T:162"
2024-05-20,15005442,1992092,13013350,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6367.T:25, 3436.T:269, 6315.T:162"
2024-05-21,14909240,2056599,12852641,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 3436.T:269, 6315.T:162, 8031.T:128"
2024-05-22,14896527,2688749,12207778,9,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6315.T:162, 8031.T:128"
2024-05-23,15114520,2443316,12671204,10,"7269.T:670, 6954.T:455, 6594.T:583, 2768.T:479, 6501.T:541, 6861.T:17, 7013.T:1700, 6315.T:162, 8031.T:128, 6146.T:4"
2024-05-24,15038674,3818757,11219917,9,"7269.T:670, 6954.T:455, 6594.T:583, 6501.T:541, 6861.T:17, 7013.T:1700, 6315.T:162, 6146.T:4, 4901.T:283"
2024-05-27,15090483,3614263,11476220,9,"7269.T:670, 6954.T:455, 6594.T:583, 6501.T:541, 6861.T:17, 7013.T:1700, 6146.T:4, 4901.T:283, 8766.T:176"
2024-05-28,15103527,3614263,11489264,9,"7269.T:670, 6954.T:455, 6594.T:583, 6501.T:541, 6861.T:17, 7013.T:1700, 6146.T:4, 4901.T:283, 8766.T:176"
2024-05-29,14963876,3614263,11349613,9,"7269.T:670, 6954.T:455, 6594.T:583, 6501.T:541, 6861.T:17, 7013.T:1700, 6146.T:4, 4901.T:283, 8766.T:176"
2024-05-30,14831332,6720680,8110652,7,"7269.T:670, 6954.T:455, 6501.T:541, 6861.T:17, 6146.T:4, 4901.T:283, 8766.T:176"
2024-05-31,14907688,6720680,8187007,7,"7269.T:670, 6954.T:455, 6501.T:541, 6861.T:17, 6146.T:4, 4901.T:283, 8766.T:176"
2024-06-03,15034208,5380345,9653863,8,"7269.T:670, 6954.T:455, 6501.T:541, 6861.T:17, 6146.T:4, 4901.T:283, 8766.T:176, 7751.T:302"
2024-06-04,15000430,6581673,8418756,7,"6954.T:455, 6501.T:541, 6861.T:17, 6146.T:4, 4901.T:283, 8766.T:176, 7751.T:302"
2024-06-05,14792319,8110254,6682065,5,"6954.T:455, 6501.T:541, 6861.T:17, 4901.T:283, 8766.T:176"
2024-06-06,14849441,8110254,6739187,5,"6954.T:455, 6501.T:541, 6861.T:17, 4901.T:283, 8766.T:176"
2024-06-07,14850078,8110254,6739824,5,"6954.T:455, 6501.T:541, 6861.T:17, 4901.T:283, 8766.T:176"
2024-06-10,15004871,8110254,6894617,5,"6954.T:455, 6501.T:541, 6861.T:17, 4901.T:283, 8766.T:176"
2024-06-11,15004583,6491404,8513178,6,"6954.T:455, 6501.T:541, 6861.T:17, 4901.T:283, 8766.T:176, 8591.T:494"
