Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail,Market_Mode
2024-05-30,119996,51273,68723,8,"8306.T(H), 1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-05-31,121068,51273,69795,8,"8306.T(H), 1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-06-03,123073,51273,71800,8,"8306.T(H), 1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-06-04,122138,51273,70865,8,"8306.T(H), 1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-06-05,120000,54433,65566,7,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-06-06,120841,54433,66407,7,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 9107.T(G)",GUERRILLA
2024-06-07,121492,38817,82675,8,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 4568.T(H), 6702.T(H)",HOMERUN
2024-06-10,122622,38817,83805,8,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 4568.T(H), 6702.T(H)",HOMERUN
2024-06-11,122200,36094,86106,9,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 4568.T(H), 6702.T(H), 4543.T(H)",HOMERUN
2024-06-12,121771,31815,89955,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 4568.T(H), 6702.T(H), 4543.T(H), 6301.T(H)",HOMERUN
2024-06-13,121577,22230,99347,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 4568.T(H), 6702.T(H), 6301.T(H), 6723.T(H)",HOMERUN
2024-06-14,121912,22391,99521,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6301.T(H), 6723.T(H), 8766.T(H)",HOMERUN
2024-06-17,120016,26509,93506,9,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H)",GUERRILLA
2024-06-18,120999,26509,94489,9,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H)",GUERRILLA
2024-06-19,121411,15908,105502,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
