Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail,Market_Mode
2023-05-22,108687,661,108026,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-23,109704,661,109042,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-24,108830,661,108169,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-25,107072,661,106411,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-26,106697,661,106035,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-29,106603,661,105941,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-30,105864,661,105202,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-31,104900,3024,101876,1,6702.T(59),GUERRILLA
2023-06-01,111541,3024,108516,1,6702.T(59),GUERRILLA
2023-06-02,111253,3024,108229,1,6702.T(59),GUERRILLA
2023-06-05,113898,3024,110873,1,6702.T(59),GUERRILLA
2023-06-06,114444,3024,111420,1,6702.T(59),GUERRILLA
2023-06-07,113409,3024,110385,1,6702.T(59),GUERRILLA
2023-06-08,111224,3024,108200,1,6702.T(59),GUERRILLA
2023-06-09,112144,3024,109120,1,6702.T(59),GUERRILLA
2023-06-12,112748,3024,109724,1,6702.T(59),GUERRILLA
2023-06-13,114645,2182,112463,2,"6702.T(59), 6315.T(1)",GUERRILLA
2023-06-14,116061,3002,113058,1,6702.T(59),GUERRILLA
2023-06-15,112726,3002,109724,1,6702.T(59),GUERRILLA
2023-06-16,112036,3002,109034,1,6702.T(59),GUERRILLA
2023-06-19,111634,3002,108631,1,6702.T(59),GUERRILLA
2023-06-20,109391,3002,106389,1,6702.T(59),GUERRILLA
2023-06-21,109104,3002,106102,1,6702.T(59),GUERRILLA
2023-06-22,110513,3002,107510,1,6702.T(59),GUERRILLA
2023-06-23,109650,3002,106648,1,6702.T(59),GUERRILLA
2023-06-26,108127,3002,105124,1,6702.T(59),GUERRILLA
2023-06-27,107552,552,106999,2,"6702.T(59), 6315.T(3)",GUERRILLA
2023-06-28,109269,552,108717,2,"6702.T(59), 6315.T(3)",GUERRILLA
2023-06-29,110851,552,110298,2,"6702.T(59), 6315.T(3)",GUERRILLA
2023-06-30,109979,552,109426,2,"6702.T(59), 6315.T(3)",GUERRILLA
2023-07-03,110458,3149,107309,1,6702.T(59),GUERRILLA
2023-07-04,108647,3149,105498,1,6702.T(59),GUERRILLA
2023-07-05,108159,3149,105009,1,6702.T(59),GUERRILLA
2023-07-06,109165,3149,106015,1,6702.T(59),GUERRILLA
2023-07-07,108101,3149,104952,1,6702.T(59),GUERRILLA
2023-07-10,106693,3149,103543,1,6702.T(59),GUERRILLA
2023-07-11,107239,635,106604,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-12,107467,635,106832,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-13,109139,635,108504,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-14,109604,635,108969,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-18,109158,635,108523,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-19,109068,635,108432,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-20,107295,635,106660,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-21,107989,635,107354,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-24,108958,635,108322,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-25,109315,635,108679,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-26,110149,635,109514,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-27,111576,635,110941,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-28,107311,635,106676,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-07-31,109046,635,108411,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-08-01,107685,635,107050,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-08-02,107100,635,106465,2,"6702.T(59), 7267.T(2)",HOMERUN
2023-08-03,107595,1544,106051,2,"6702.T(59), 6501.T(1)",HOMERUN
2023-08-04,107495,148,107346,3,"6702.T(59), 6501.T(1), 7011.T(2)",HOMERUN
2023-08-07,109172,148,109023,3,"6702.T(59), 6501.T(1), 7011.T(2)",HOMERUN
2023-08-08,109664,148,109515,3,"6702.T(59), 6501.T(1), 7011.T(2)",HOMERUN
